City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Koumra,TD,8.9126,17.5539,69.3,91,25,2.93,scattered clouds
111,Itamaraca,BR,-7.7478,-34.8256,78.85,83,99,12.08,overcast clouds
112,Kuminskiy,RU,58.6667,66.5667,37.42,86,28,5.59,scattered clouds
113,Azul,AR,-36.777,-59.8585,61.34,37,73,12.55,broken clouds
114,Lavrentiya,RU,65.5833,-171.0,28.18,52,98,3.38,overcast clouds
115,Kruisfontein,ZA,-34.0033,24.7314,61.88,93,100,3.11,overcast clouds
116,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.96,89,31,0.63,scattered clouds
117,Caravelas,BR,-17.7125,-39.2481,72.82,75,0,6.04,clear sky
118,Harper,LR,4.375,-7.7169,76.44,80,98,5.91,overcast clouds
119,Eyl,SO,7.9803,49.8164,78.62,73,99,10.8,overcast clouds
120,Souillac,MU,-20.5167,57.5167,71.98,73,40,8.05,scattered clouds
121,San Remo,IT,43.8182,7.7612,63.88,66,48,5.26,scattered clouds
122,Tanout,NE,14.9709,8.8879,82.31,21,27,9.93,scattered clouds
123,Punta Arenas,CL,-53.15,-70.9167,35.71,75,40,18.41,light intensity shower rain
124,Simao,CN,22.7886,100.9748,70.7,85,54,1.99,broken clouds
125,Grand Baie,MU,-20.0182,57.5802,74.44,63,13,8.99,few clouds
126,Port Lincoln,AU,-34.7333,135.8667,59.86,65,62,22.86,broken clouds
127,Blackfoot,US,43.1905,-112.345,60.55,32,0,6.69,clear sky
128,Mount Isa,AU,-20.7333,139.5,98.37,25,62,14.97,broken clouds
129,Soyo,AO,-6.1349,12.3689,75.94,86,73,4.99,broken clouds
130,Kodiak,US,57.79,-152.4072,40.51,52,0,11.5,clear sky
131,Waingapu,ID,-9.6567,120.2641,86.7,55,0,8.01,clear sky
132,Labelle,US,26.7617,-81.4384,75.25,74,100,3.4,overcast clouds
133,Smithers,CA,54.7804,-127.1743,44.92,87,20,3.44,few clouds
134,Yellowknife,CA,62.456,-114.3525,27.12,74,20,5.75,few clouds
135,Hope,US,33.6671,-93.5916,78.85,60,31,8.66,scattered clouds
136,Kaeo,NZ,-35.1,173.7833,67.32,65,67,8.19,light rain
137,Richards Bay,ZA,-28.783,32.0377,72.73,89,99,11.01,overcast clouds
138,Codrington,AU,-38.2667,141.9667,51.26,94,100,4.65,moderate rain
139,Esperance,AU,-33.8667,121.9,56.34,67,94,16.49,overcast clouds
140,Blythe,US,33.6103,-114.5964,90.05,23,0,10.36,clear sky
141,Burriana,ES,39.889,-0.085,63.66,82,1,4.14,clear sky
142,Faanui,PF,-16.4833,-151.75,78.82,74,38,10.92,light rain
143,Pilar,BR,-9.5972,-35.9567,71.53,93,95,2.48,overcast clouds
144,Carnarvon,AU,-24.8667,113.6333,73.45,26,0,14.29,clear sky
145,Hualmay,PE,-11.0964,-77.6139,60.8,85,4,11.77,clear sky
146,Kinsale,IE,51.7075,-8.5306,49.37,100,40,5.75,scattered clouds
147,Padang,ID,-0.9492,100.3543,80.65,74,100,3.4,light rain
148,Huainan,CN,32.6264,116.9969,67.03,44,24,10.54,few clouds
149,Huaiyin,CN,33.5886,119.0192,68.25,48,12,9.19,few clouds
150,Hithadhoo,MV,-0.6,73.0833,81.16,72,100,14.63,overcast clouds
151,Amlagora,IN,22.8333,87.3333,81.73,76,89,2.66,overcast clouds
152,Avera,US,33.194,-82.5271,69.31,98,100,7.61,overcast clouds
153,Alice Springs,AU,-23.7,133.8833,63.95,48,100,17.27,overcast clouds
154,Arlit,NE,18.7369,7.3853,83.71,16,0,8.16,clear sky
155,Kavieng,PG,-2.5744,150.7967,83.41,71,100,7.92,overcast clouds
156,College,US,64.8569,-147.8028,28.58,84,75,8.05,broken clouds
157,Bluff,NZ,-46.6,168.3333,49.84,63,51,8.93,broken clouds
158,Mabaruma,GY,8.2,-59.7833,75.25,87,97,3.0,overcast clouds
159,Tadine,NC,-21.55,167.8833,74.82,66,60,16.06,broken clouds
160,Yulara,AU,-25.2406,130.9889,58.05,44,100,10.45,overcast clouds
161,Port Alfred,ZA,-33.5906,26.891,66.18,96,100,3.27,overcast clouds
162,Qaanaaq,GL,77.484,-69.3632,6.44,62,20,8.63,few clouds
163,Gaoua,BF,10.2992,-3.2508,73.96,75,34,3.38,scattered clouds
164,Limoux,FR,42.9167,2.1667,52.5,90,4,4.05,clear sky
165,Manokwari,ID,-0.8667,134.0833,83.88,70,100,10.42,overcast clouds
166,Berlevag,NO,70.8578,29.0864,41.0,75,40,16.11,scattered clouds
167,Port Macquarie,AU,-31.4333,152.9167,70.9,63,44,11.97,scattered clouds
168,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,54.19,44,75,17.9,broken clouds
169,Naze,JP,28.3667,129.4833,81.52,73,4,24.74,clear sky
170,Ostrovnoy,RU,68.0531,39.5131,38.26,85,38,10.6,scattered clouds
171,Kyzyl-Suu,KG,42.3414,78.0056,51.15,23,0,0.4,clear sky
172,Tiksi,RU,71.6872,128.8694,22.62,86,100,7.16,overcast clouds
173,Lompoc,US,34.6391,-120.4579,63.79,93,0,4.61,clear sky
174,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,86,40,5.75,scattered clouds
175,Banjar,ID,-8.19,114.9675,86.9,63,100,3.42,overcast clouds
176,Sawakin,SD,19.1059,37.3321,80.46,75,3,5.84,clear sky
177,Mauriti,BR,-7.3892,-38.7744,74.14,59,2,10.18,clear sky
178,Teahupoo,PF,-17.8333,-149.2667,73.36,84,53,17.54,light rain
179,Faya,SA,18.3851,42.4509,55.51,24,20,5.17,few clouds
180,Knysna,ZA,-34.0363,23.0471,62.6,95,90,3.74,overcast clouds
181,Lebu,CL,-37.6167,-73.65,47.73,74,6,16.46,clear sky
182,La Tuque,CA,47.4334,-72.7824,52.05,87,100,3.44,overcast clouds
183,Guerrero Negro,MX,27.9769,-114.0611,69.35,80,100,17.36,overcast clouds
184,Geraldton,AU,-28.7667,114.6,72.01,24,0,11.5,clear sky
185,Bijapur,IN,16.8333,75.7,73.09,87,100,5.39,overcast clouds
186,Olafsvik,IS,64.8945,-23.7142,42.6,62,91,5.12,overcast clouds
187,Iquique,CL,-20.2208,-70.1431,59.04,69,38,0.11,scattered clouds
188,Salalah,OM,17.0151,54.0924,73.49,78,0,3.44,clear sky
189,Trzebiatow,PL,54.0615,15.2648,45.86,76,5,9.95,clear sky
190,Karratha,AU,-20.7377,116.8463,80.8,23,60,21.39,broken clouds
191,Qarchak,IR,35.4394,51.5689,63.27,35,0,0.2,clear sky
192,Taian,CN,36.1853,117.12,64.69,48,99,4.32,overcast clouds
193,Ponta Do Sol,PT,32.6667,-17.1,72.72,72,44,3.89,scattered clouds
194,Honningsvag,NO,70.9821,25.9704,40.75,81,100,14.97,overcast clouds
195,Pevek,RU,69.7008,170.3133,19.92,80,100,8.61,overcast clouds
196,Arman,RU,59.7,150.1667,34.02,66,47,1.63,scattered clouds
197,Hamilton,US,39.1834,-84.5333,66.97,85,100,8.05,overcast clouds
198,Flin Flon,CA,54.7682,-101.865,32.95,65,100,19.19,overcast clouds
199,Teya,RU,60.3778,92.6267,35.26,91,100,5.79,overcast clouds
200,Opotiki,NZ,-38.0833,177.2833,58.23,88,100,1.39,overcast clouds
201,Pochutla,MX,15.7432,-96.4661,76.82,94,96,2.8,overcast clouds
202,Tautira,PF,-17.7333,-149.15,76.33,83,47,15.77,light rain
203,Vanavara,RU,60.34,102.2797,33.87,80,100,9.08,overcast clouds
204,San Patricio,US,28.017,-97.5169,82.35,71,70,9.06,broken clouds
205,Cockburn Town,TC,21.4612,-71.1419,82.38,75,75,17.52,broken clouds
206,Ponta Delgada,PT,37.7333,-25.6667,68.72,77,75,4.61,broken clouds
207,Bonthe,SL,7.5264,-12.505,75.63,88,93,3.87,overcast clouds
208,San Cristobal,VE,7.7669,-72.225,69.98,97,99,2.62,overcast clouds
209,Wanning,CN,18.8003,110.3967,79.65,61,75,15.9,broken clouds
210,Asyut,EG,27.181,31.1837,69.35,65,0,11.21,clear sky
211,East London,ZA,-33.0153,27.9116,67.14,88,0,3.44,clear sky
212,Bongandanga,CD,1.5,21.05,68.88,99,99,2.55,light rain
213,Bissau,GW,11.8636,-15.5977,75.31,94,40,2.3,scattered clouds
214,Ilulissat,GL,69.2167,-51.1,28.42,69,100,9.22,light shower snow
215,Sinnar,SD,13.5691,33.5672,79.14,63,49,5.55,scattered clouds
216,Longyearbyen,SJ,78.2186,15.6401,35.44,69,75,6.91,broken clouds
217,Ayan,RU,56.45,138.1667,42.17,52,60,2.91,broken clouds
218,Aklavik,CA,68.2191,-135.0107,21.63,91,100,2.04,overcast clouds
219,Kosovo Polje,XK,42.6394,21.0961,55.2,89,75,3.44,broken clouds
220,Loja,EC,-3.9931,-79.2042,56.3,95,67,1.54,broken clouds
221,Ouadda,CF,8.0777,22.4007,66.45,93,59,3.06,broken clouds
222,Mongomo,GQ,1.6274,11.3135,67.37,100,100,0.87,light rain
223,Husavik,IS,66.0449,-17.3389,37.63,78,93,9.4,overcast clouds
224,Nantucket,US,41.2835,-70.0995,62.71,79,0,10.36,clear sky
225,Peniche,PT,39.3558,-9.3811,63.1,94,79,13.0,broken clouds
226,Vostok,RU,46.4856,135.8833,53.31,40,97,3.87,overcast clouds
227,Walvis Bay,NA,-22.9575,14.5053,58.19,86,100,6.29,overcast clouds
228,Cirebon,ID,-6.7063,108.557,88.61,54,100,5.19,overcast clouds
229,Zimovniki,RU,47.1483,42.4633,43.32,73,0,5.57,clear sky
230,Salinopolis,BR,-0.6136,-47.3561,79.74,83,100,11.5,overcast clouds
231,Pumiao,CN,22.75,108.4833,79.2,25,2,7.63,clear sky
232,Hobyo,SO,5.3505,48.5268,76.84,85,29,14.92,scattered clouds
233,Aginskoye,RU,51.1,114.53,50.47,36,4,7.16,clear sky
234,Dwarka,IN,22.2394,68.9678,84.61,59,19,7.9,few clouds
235,Antalaha,MG,-14.9003,50.2788,66.27,81,1,6.42,clear sky
236,Bondo,CD,3.8146,23.6866,67.44,99,45,2.13,scattered clouds
237,Motala,SE,58.5371,15.0365,49.32,80,100,12.62,overcast clouds
238,Cidreira,BR,-30.1811,-50.2056,62.15,89,70,7.67,broken clouds
239,Polunochnoye,RU,60.8697,60.4153,38.57,88,100,4.9,overcast clouds
240,Daru,PG,-9.0763,143.2092,84.06,73,99,12.06,overcast clouds
